,,,,Touchdowns,Kicking,Misc,Player,Team,Gms,Pts,Tot,R,P,KR,PR,IR,FR,BK,BP,FGR,PAT,FG,2Pt,Saf
Baker MayfieldB. Mayfield,TB,5,12,2,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Trey McBrideT. McBride,ARI,4,6,1,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,
Jaylen McColloughJ. McCollough,LA,5,6,1,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,
Ladd McConkeyL. McConkey,LAC,4,12,2,0,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Chase McLaughlinC. McLaughlin,TB,5,43,0,0,0,0,0,0,0,0,0,0,13,10,0,0,,,,,,,
Jaleel McLaughlinJ. McLaughlin,DEN,5,12,2,1,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Terry McLaurinT. McLaurin,WAS,5,12,2,0,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Rodney McLeodR. McLeod,CLE,5,6,1,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,
Jalen McMillanJ. McMillan,TB,3,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Jeremy McNicholsJ. McNichols,WAS,5,18,3,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Evan McPhersonE. McPherson,CIN,5,40,0,0,0,0,0,0,0,0,0,0,13,9,0,0,,,,,,,
D.K. MetcalfD. Metcalf,SEA,6,12,2,0,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Jakobi MeyersJ. Meyers,LV,5,8,1,0,1,0,0,0,0,0,0,0,0,0,1,0,,,,,,,
Joe MixonJ. Mixon,HOU,2,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
David MontgomeryD. Montgomery,DET,4,24,4,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Jake MoodyJ. Moody,SF,5,51,0,0,0,0,0,0,0,0,0,0,12,13,0,0,,,,,,,
Darnell MooneyD. Mooney,ATL,5,18,3,0,3,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
D.J. MooreD. Moore,CHI,5,18,3,0,3,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Foster MoreauF. Moreau,NO,5,12,2,0,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Wanya MorrisW. Morris,KC,5,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Zack MossZ. Moss,CIN,5,18,3,2,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
John MundtJ. Mundt,MIN,5,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Kyler MurrayK. Murray,ARI,5,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Jason MyersJ. Myers,SEA,6,42,0,0,0,0,0,0,0,0,0,0,15,9,0,0,,,,,,,
Malik NabersM. Nabers,NYG,4,18,3,0,3,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Jalen NailorJ. Nailor,MIN,5,18,3,0,3,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Brayden NarvesonB. Narveson,GB,5,42,0,0,0,0,0,0,0,0,0,0,12,10,0,0,,,,,,,
Bo NixB. Nix,DEN,5,18,3,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Rome OdunzeR. Odunze,CHI,5,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Andrew OgletreeA. Ogletree,IND,5,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Dare OgunbowaleD. Ogunbowale,HOU,5,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Chigoziem OkonkwoC. Okonkwo,TEN,4,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Chris OlaveC. Olave,NO,5,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Josh OliverJ. Oliver,MIN,5,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Jonathan OwensJ. Owens,CHI,5,6,1,0,0,0,0,0,0,0,1,0,0,0,0,0,,,,,,,
Isiah PachecoI. Pacheco,KC,2,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Trey PalmerT. Palmer,TB,4,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Samaje PerineS. Perine,KC,5,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Alec PierceA. Pierce,IND,5,18,3,0,3,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Eddy PineiroE. Pineiro,CAR,5,29,0,0,0,0,0,0,0,0,0,0,8,7,0,0,,,,,,,
Michael PittmanM. Pittman,IND,5,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
